,feature,importance
2,High density residential with retail and commercial sites,0.1
5,Low density residential with amenities (suburbs and small villages / hamlets),0.1
1,Green space and recreational land,0.13
7,Principle Transport,0.21
6,Medium density residential with high streets and amenities,0.07
8,Urban centres - mainly commercial/retail with residential pockets,0.1
3,Industrial areas,0.08
10,supergroup,0.06
4,Large complex buildings various use (travel/recreation/ retail),0.07
9,Water,0.05
0,Agriculture,0.02
