,feature,importance
5,Low density residential with amenities (suburbs and small villages / hamlets),0.1
2,High density residential with retail and commercial sites,0.08
7,Principle Transport,0.2
1,Green space and recreational land,0.13
6,Medium density residential with high streets and amenities,0.07
8,Urban centres - mainly commercial/retail with residential pockets,0.07
3,Industrial areas,0.08
10,supergroup,0.05
4,Large complex buildings various use (travel/recreation/ retail),0.13
9,Water,0.06
0,Agriculture,0.02
